type,symbol,date,detail,touches_watch
symbol_change,COSMOFILMS / COSMOFIRST,,ISIN INE757A01017 maps to 2 symbols,False
symbol_change,SHREYAS / TRANSWORLD,,ISIN INE757B01015 maps to 2 symbols,False
symbol_change,ETERNAL / ZOMATO,,ISIN INE758T01015 maps to 2 symbols,False
symbol_change,HEADSUP / TMRVL,,ISIN INE759V01019 maps to 2 symbols,False
symbol_change,CAMLIN / KOKUYOCMLN,,ISIN INE760A01029 maps to 2 symbols,False
symbol_change,TARIL / TRIL,,ISIN INE763I01026 maps to 2 symbols,False
symbol_change,MOTHERSON / MOTHERSUMI,,ISIN INE775A01035 maps to 2 symbols,False
symbol_change,GMRAIRPORT / GMRINFRA,,ISIN INE776C01039 maps to 2 symbols,False
symbol_change,NATHSEED / TECHIN,,ISIN INE778A01021 maps to 2 symbols,False
symbol_change,EMAMIINFRA / EMAMIREAL,,ISIN INE778K01012 maps to 2 symbols,False
symbol_change,BOSCH-HCIL / HITACHIHOM / JCHAC,,ISIN INE782A01015 maps to 3 symbols,False
symbol_change,ACCELYA / KALECONSUL,,ISIN INE793A01012 maps to 2 symbols,False
symbol_change,BHAGWATIHO / TGBHOTELS,,ISIN INE797H01018 maps to 2 symbols,False
symbol_change,BIRLACABLE / BIRLAERIC,,ISIN INE800A01015 maps to 2 symbols,False
symbol_change,VIKASECO / VIKASGLOB,,ISIN INE806A01020 maps to 2 symbols,False
symbol_change,SEQUENT / VIYASH,,ISIN INE807F01027 maps to 2 symbols,False
symbol_change,ANTELOPUS / SELAN,,ISIN INE818A01017 maps to 2 symbols,False
symbol_change,DAAWAT / LTFOODS,,ISIN INE818H01020 maps to 2 symbols,False
symbol_change,BHUSANSTL / TATASTLBSL,,ISIN INE824B01021 maps to 2 symbols,False
symbol_change,JINDALSWHL / JSWHL,,ISIN INE824G01012 maps to 2 symbols,False
symbol_change,BKMINDST / MANAKINDST,,ISIN INE831Q01016 maps to 2 symbols,False
symbol_change,IBIPL / RTNINDIA / RTNINFRA,,ISIN INE834M01019 maps to 3 symbols,False
symbol_change,ALLDIGI / ALLSEC,,ISIN INE835G01018 maps to 2 symbols,False
symbol_change,BSOFT / KPIT,,ISIN INE836A01035 maps to 2 symbols,False
symbol_change,IZMO / LOGIXMICRO,,ISIN INE848A01014 maps to 2 symbols,False
symbol_change,MCDOWELL-N / UNITDSPR,,ISIN INE854D01024 maps to 2 symbols,False
symbol_change,RAIN / RAINCOM,,ISIN INE855B01025 maps to 2 symbols,False
symbol_change,GSS / GSSAMERICA,,ISIN INE871H01011 maps to 2 symbols,False
symbol_change,BALKRISHNA / NIRVIKARA,,ISIN INE875R01011 maps to 2 symbols,False
symbol_change,AIL / APIL / GEPIL / GVPIL,,ISIN INE878A01011 maps to 4 symbols,False
symbol_change,AMARAJABAT / ARE&M,,ISIN INE885A01032 maps to 2 symbols,False
symbol_change,IBN18 / TV18BRDCST,,ISIN INE886H01027 maps to 2 symbols,False
