SYMBOL,latest_ISIN,reason
MASILVER,INF769K01KG6,fund/ETF (INF)
MASPTOP50,INF769K01HP3,fund/ETF (INF)
METAL,INF769K01LY7,fund/ETF (INF)
METALIETF,INF109KC19W1,fund/ETF (INF)
MGOLD,INF247L01072,fund/ETF (INF)
MID150,INF174KA1VW2,fund/ETF (INF)
MID150BEES,INF204KB1V68,fund/ETF (INF)
MID150CASE,INF0R8F01059,fund/ETF (INF)
MIDCAP,INF174KA1ZC5,fund/ETF (INF)
MIDCAPADD,INF740KA1WW5,fund/ETF (INF)
MIDCAPBETA,INF789F1AYX9,fund/ETF (INF)
MIDCAPETF,INF769K01IC9,fund/ETF (INF)
MIDCAPIETF,INF109KC11W8,fund/ETF (INF)
MIDCAPIWIN,INF109KB1XT3,fund/ETF (INF)
MIDQ50ADD,INF740KA1QL0,fund/ETF (INF)
MIDSELIETF,INF109KC10W0,fund/ETF (INF)
MIDSMALL,INF769K01LJ8,fund/ETF (INF)
MNC,INF174KA1JF2,fund/ETF (INF)
MOALPHA50,INF247L01FR8,fund/ETF (INF)
MOBANK10,INF247L01GV8,fund/ETF (INF)
MOCAPITAL,INF247L01EV3,fund/ETF (INF)
MODEFENCE,INF247L01DJ0,fund/ETF (INF)
MOENERGY,INF247L01GH7,fund/ETF (INF)
MOGOLD,INF247L01FY4,fund/ETF (INF)
MOGSEC,INF247L01AK4,fund/ETF (INF)
MOHEALTH,INF247L01BB1,fund/ETF (INF)
MOINFRA,INF247L01FL1,fund/ETF (INF)
MOIPO,INF247L01GI5,fund/ETF (INF)
MOLOWVOL,INF247L01BL0,fund/ETF (INF)
MOM100,INF247L01023,fund/ETF (INF)
MOM30IETF,INF109KC17C7,fund/ETF (INF)
MOM50,INF247L01536,fund/ETF (INF)
MOMENTUM,INF209KB14K7,fund/ETF (INF)
MOMENTUM30,INF174KA1XS6,fund/ETF (INF)
MOMENTUM50,INF247L01DK8,fund/ETF (INF)
MOMGF,INF247L01FK3,fund/ETF (INF)
MOMIDMTM,INF247L01FQ0,fund/ETF (INF)
MOMNC,INF247L01GK1,fund/ETF (INF)
MOMOMENTUM,INF247L01BK2,fund/ETF (INF)
MON100,INF247L01AP3,fund/ETF (INF)
MON50EQUAL,INF247L01FC0,fund/ETF (INF)
MONEXT50,INF247L01FD8,fund/ETF (INF)
MONIFTY100,INF247L01GG9,fund/ETF (INF)
MONIFTY500,INF247L01BU1,fund/ETF (INF)
MONQ50,INF247L01AU3,fund/ETF (INF)
MOPSE,INF247L01FO5,fund/ETF (INF)
MOQUALITY,INF247L01BH8,fund/ETF (INF)
MOREALTY,INF247L01CI4,fund/ETF (INF)
MOSERVICE,INF247L01GJ3,fund/ETF (INF)
MOSILVER,INF247L01FZ1,fund/ETF (INF)
MOSMALL250,INF247L01CH6,fund/ETF (INF)
MOTOUR,INF247L01FP2,fund/ETF (INF)
MOVALUE,INF247L01BE5,fund/ETF (INF)
MSCI360,INF579M01BP5,fund/ETF (INF)
MSCIADD,INF740KA1WV7,fund/ETF (INF)
MSCIINDIA,INF174KA1VD2,fund/ETF (INF)
MULTICAP,INF769K01LX9,fund/ETF (INF)
N100,INF247L01031,fund/ETF (INF)
NAVINIFTY,INF959L01HI3,fund/ETF (INF)
NCPSESDL24,INF204KB18W4,fund/ETF (INF)
NETF,INF277K015R5,fund/ETF (INF)
NETFAUTO,INF204KC1337,fund/ETF (INF)
NETFCONSUM,INF204KA1LD7,fund/ETF (INF)
NETFDIVOPP,INF204KA1MS3,fund/ETF (INF)
NETFGILT5Y,INF204KC1030,fund/ETF (INF)
NETFIT,INF204KB15V2,fund/ETF (INF)
NETFLTGILT,INF204KB1882,fund/ETF (INF)
NETFMID150,INF204KB1V68,fund/ETF (INF)
NETFNIF100,INF204K014N5,fund/ETF (INF)
NETFNV20,INF204KB18I3,fund/ETF (INF)
NETFPHARMA,INF204KC1089,fund/ETF (INF)
NETFSDL26,INF204KC1022,fund/ETF (INF)
NETFSILVER,INF204KC1402,fund/ETF (INF)
NEXT30ADD,INF740KA1VE5,fund/ETF (INF)
NEXT50,INF769K01FN2,fund/ETF (INF)
NEXT50ADD,INF740KA1XU7,fund/ETF (INF)
NEXT50BETA,INF789F1AUW9,fund/ETF (INF)
NEXT50ETF,INF174KA1YO3,fund/ETF (INF)
NEXT50IETF,INF109KC1NS5,fund/ETF (INF)
NIF100BEES,INF204K014N5,fund/ETF (INF)
NIF100IETF,INF109KC16V9,fund/ETF (INF)
NIF100IWIN,INF109KA1962,fund/ETF (INF)
NIF10GETF,INF789F1AZF3,fund/ETF (INF)
NIF5GETF,INF789F1AZE6,fund/ETF (INF)
NIFETF,INF109K012R6,fund/ETF (INF)
NIFITETF,INF789F1AZD8,fund/ETF (INF)
NIFMID150,INF789F1AYX9,fund/ETF (INF)
NIFTY1,INF174K014P6,fund/ETF (INF)
NIFTY100EW,INF174KA1UW4,fund/ETF (INF)
NIFTY50ADD,INF740KA1CL0,fund/ETF (INF)
NIFTYADD,INF740KA1CL0,fund/ETF (INF)
NIFTYBEES,INF204KB14I2,fund/ETF (INF)
NIFTYBETA,INF789F1AZC0,fund/ETF (INF)
NIFTYBETF,INF0QA701722,fund/ETF (INF)
NIFTYCASE,INF0R8F01166,fund/ETF (INF)
NIFTYEES,INF754K01EK3,fund/ETF (INF)
NIFTYETF,INF769K01EG9,fund/ETF (INF)
NIFTYIETF,INF109K012R6,fund/ETF (INF)
NIFTYIWIN,INF109K012R6,fund/ETF (INF)
NIFTYQLITY,INF209KB15K4,fund/ETF (INF)
NPBET,INF277K010X4,fund/ETF (INF)
NV20,INF174KA1ZE1,fund/ETF (INF)
NV20BEES,INF204KB18I3,fund/ETF (INF)
NV20IETF,INF109KC11V0,fund/ETF (INF)
NV20IWIN,INF109KB1WY5,fund/ETF (INF)
OILIETF,INF109KC18W3,fund/ETF (INF)
PHARMABEES,INF204KC1089,fund/ETF (INF)
PRETAILDVR,IN9623B01058,DVR/special (IN9)
PSUBANK,INF373I01023,fund/ETF (INF)
PSUBANKADD,INF740KA1SY9,fund/ETF (INF)
PSUBANKICI,INF109KC10S8,fund/ETF (INF)
PSUBNKBEES,INF204KB16I7,fund/ETF (INF)
PSUBNKIETF,INF109KC10S8,fund/ETF (INF)
PVTBANIETF,INF109KC18U7,fund/ETF (INF)
PVTBANKADD,INF740KA1TA7,fund/ETF (INF)
PVTBKGROWW,INF666M01OT5,fund/ETF (INF)
QGOLDHALF,INF082J01408,fund/ETF (INF)
QNIFTY,INF082J01499,fund/ETF (INF)
QUAL30IETF,INF109KC18V5,fund/ETF (INF)
QUALITY,INF174KA1WT6,fund/ETF (INF)
QUALITY30,INF174KA1WT6,fund/ETF (INF)
RELBANK,INF733I01028,fund/ETF (INF)
RELCNX100,INF204K014N5,fund/ETF (INF)
RELCONS,INF204KA1LD7,fund/ETF (INF)
RELDIVOPP,INF204KA1MS3,fund/ETF (INF)
RELGOLD,INF733I01010,fund/ETF (INF)
RELGRNIFTY,INF205K01DA9,fund/ETF (INF)
RELIGAREGO,INF205K01361,fund/ETF (INF)
RELNIFTY,INF204KA1EU6,fund/ETF (INF)
RELNV20,INF204KA17D8,fund/ETF (INF)
RETFMID150,INF204KB1V68,fund/ETF (INF)
RRSLGETF,INF204KB1882,fund/ETF (INF)
SBIBPB,INF200KB1712,fund/ETF (INF)
SBIETFCON,INF200KA1X17,fund/ETF (INF)
SBIETFIT,INF200KA1S14,fund/ETF (INF)
SBIETFPB,INF200KA1S22,fund/ETF (INF)
SBIETFQLTY,INF200KA1WX6,fund/ETF (INF)
SBIGETS,INF200K01099,fund/ETF (INF)
SBILIQETF,INF200KB1969,fund/ETF (INF)
SBIMIDMOM,INF200KB1AJ0,fund/ETF (INF)
SBINEQWETF,INF200KB1282,fund/ETF (INF)
SBINMID150,INF200KB1AK8,fund/ETF (INF)
SBISILVER,INF200KB1217,fund/ETF (INF)
SBISMLETF,INF200KB1AY9,fund/ETF (INF)
SBIVALETF,INF200KB1AX1,fund/ETF (INF)
SDL24BEES,INF204KB18W4,fund/ETF (INF)
SDL26BEES,INF204KC1022,fund/ETF (INF)
SELECTIPO,INF769K01ON4,fund/ETF (INF)
SENSEXADD,INF740KA1SZ6,fund/ETF (INF)
SENSEXBETA,INF789FB1X58,fund/ETF (INF)
SENSEXETF,INF769K01KT9,fund/ETF (INF)
SENSEXIETF,INF346A01034,fund/ETF (INF)
SENSEXIWIN,INF346A01034,fund/ETF (INF)
SETF10GILT,INF200KA1JT1,fund/ETF (INF)
SETFBANK,INF200KA1580,fund/ETF (INF)
SETFGOLD,INF200KA16D8,fund/ETF (INF)
SETFNIF50,INF200KA1FS1,fund/ETF (INF)
SETFNIFBK,INF200KA1580,fund/ETF (INF)
SETFNIFJR,INF200KA1598,fund/ETF (INF)
SETFNIFTY,INF200KA1FS1,fund/ETF (INF)
SETFNN50,INF200KA1598,fund/ETF (INF)
SHARIABEES,INF732E01128,fund/ETF (INF)
SILVER,INF209KB19F6,fund/ETF (INF)
SILVER1,INF174KA1ZD3,fund/ETF (INF)
SILVER360,INF579M01BC3,fund/ETF (INF)
SILVERADD,INF740KA1RE3,fund/ETF (INF)
SILVERAG,INF769K01KG6,fund/ETF (INF)
SILVERBEES,INF204KC1402,fund/ETF (INF)
SILVERBETA,INF789F1AYK6,fund/ETF (INF)
SILVERBND,INF194KB1KI9,fund/ETF (INF)
SILVERCASE,INF0R8F01091,fund/ETF (INF)
SILVERETF,INF789F1AYK6,fund/ETF (INF)
SILVERIETF,INF109KC1Y56,fund/ETF (INF)
SILVRETF,INF769K01KG6,fund/ETF (INF)
SMALL250,INF769K01PQ4,fund/ETF (INF)
SMALLADD,INF740KA1WX3,fund/ETF (INF)
SMALLCAP,INF769K01LC3,fund/ETF (INF)
SML100CASE,INF0R8F01141,fund/ETF (INF)
SNXT30BEES,INF204KC1EZ3,fund/ETF (INF)
SNXT50BETA,INF789F1AUU3,fund/ETF (INF)
SPICE,INF346A01034,fund/ETF (INF)
TATAGOLD,INF277KA1976,fund/ETF (INF)
TATAMTRDVR,IN9155A01020,DVR/special (IN9)
