2026-05-30 20:55:44 | constructor          | INFO    | Portfolio on 2020-08-21: 5 stocks, ₹20,308 invested, ₹4,299 cash (100% allocation)
2026-05-30 20:55:57 | constructor          | INFO    | Portfolio on 2020-08-28: 5 stocks, ₹22,881 invested, ₹1,513 cash (100% allocation)
2026-05-30 20:56:09 | constructor          | INFO    | Portfolio on 2020-09-11: 5 stocks, ₹15,793 invested, ₹8,644 cash (70% allocation)
2026-05-30 20:56:21 | constructor          | INFO    | Portfolio on 2020-09-18: 3 stocks, ₹9,850 invested, ₹14,849 cash (70% allocation)
2026-05-30 20:56:34 | constructor          | INFO    | Portfolio on 2020-10-01: 5 stocks, ₹14,836 invested, ₹8,577 cash (70% allocation)
2026-05-30 20:56:46 | constructor          | INFO    | Portfolio on 2020-10-09: 5 stocks, ₹15,545 invested, ₹7,901 cash (70% allocation)
2026-05-30 20:56:59 | constructor          | INFO    | Portfolio on 2020-10-16: 5 stocks, ₹19,853 invested, ₹3,612 cash (100% allocation)
2026-05-30 20:57:11 | constructor          | INFO    | Portfolio on 2020-10-23: 5 stocks, ₹20,925 invested, ₹1,957 cash (100% allocation)
2026-05-30 20:57:24 | constructor          | INFO    | Portfolio on 2020-10-30: 5 stocks, ₹15,847 invested, ₹11,221 cash (70% allocation)
2026-05-30 20:57:37 | constructor          | INFO    | Portfolio on 2020-11-06: 5 stocks, ₹14,807 invested, ₹8,197 cash (70% allocation)
2026-05-30 20:57:49 | constructor          | INFO    | Portfolio on 2020-11-14: 5 stocks, ₹20,659 invested, ₹2,478 cash (100% allocation)
2026-05-30 20:58:02 | constructor          | INFO    | Portfolio on 2020-11-20: 5 stocks, ₹19,526 invested, ₹3,530 cash (100% allocation)
2026-05-30 20:58:15 | constructor          | INFO    | Portfolio on 2020-11-27: 5 stocks, ₹18,903 invested, ₹4,181 cash (100% allocation)
2026-05-30 20:58:28 | constructor          | INFO    | Portfolio on 2020-12-04: 5 stocks, ₹21,661 invested, ₹2,050 cash (100% allocation)
2026-05-30 20:58:40 | constructor          | INFO    | Portfolio on 2020-12-11: 5 stocks, ₹20,517 invested, ₹3,399 cash (100% allocation)
2026-05-30 20:58:53 | constructor          | INFO    | Portfolio on 2020-12-18: 5 stocks, ₹21,601 invested, ₹2,484 cash (100% allocation)
2026-05-30 20:59:06 | constructor          | INFO    | Portfolio on 2021-01-01: 5 stocks, ₹22,329 invested, ₹2,381 cash (100% allocation)
2026-05-30 20:59:19 | constructor          | INFO    | Portfolio on 2021-01-08: 5 stocks, ₹21,079 invested, ₹4,430 cash (100% allocation)
2026-05-30 20:59:32 | constructor          | INFO    | Portfolio on 2021-01-15: 5 stocks, ₹30,162 invested, ₹3,183 cash (100% allocation)
2026-05-30 20:59:45 | constructor          | INFO    | Portfolio on 2021-01-22: 5 stocks, ₹19,284 invested, ₹5,280 cash (100% allocation)
