2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: ITC @ 138.35 (stop=138.37)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 163.30 (stop=164.01)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 948.29 (stop=948.46)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 447.59 (stop=475.16)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: CIPLA @ 371.39 (stop=373.19)
2026-05-30 20:02:54 | risk_manager         | INFO    | TIME STOP: KOTAKBANK after 60 days (max=60)
2026-05-30 20:02:54 | risk_manager         | INFO    | TIME STOP: SHREECEM after 60 days (max=60)
2026-05-30 20:02:54 | risk_manager         | INFO    | TIME STOP: M&M after 60 days (max=60)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: ULTRACEMCO @ 1782.61 (stop=1795.17)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: ICICIBANK @ 180.76 (stop=181.74)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: SUNPHARMA @ 454.39 (stop=459.90)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: AXISBANK @ 249.83 (stop=251.83)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: HDFCBANK @ 144.04 (stop=145.50)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 420.28 (stop=431.73)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: TATACONSUM @ 115.49 (stop=117.02)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 68.74 (stop=71.41)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: ITC @ 131.91 (stop=132.59)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 307.97 (stop=311.02)
2026-05-30 20:02:56 | risk_manager         | INFO    | TRAILING STOP: SHREECEM @ 4193.48 (stop=4260.15)
2026-05-30 20:02:56 | risk_manager         | INFO    | TIME STOP: HCLTECH after 60 days (max=60)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: MARUTI @ 1300.87 (stop=1322.36)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: ICICIBANK @ 162.27 (stop=163.24)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: M&M @ 393.47 (stop=398.41)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 424.63 (stop=433.91)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 12.69 (stop=12.73)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: HINDUNILVR @ 557.89 (stop=570.18)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: DRREDDY @ 409.70 (stop=414.17)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: NESTLEIND @ 231.58 (stop=234.15)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: ITC @ 147.10 (stop=149.62)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: SHREECEM @ 4088.70 (stop=4119.07)
2026-05-30 20:02:59 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 319.08 (stop=320.39)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: TATACONSUM @ 122.86 (stop=125.68)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 394.86 (stop=414.76)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: NESTLEIND @ 213.80 (stop=219.93)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 284.87 (stop=290.58)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: AXISBANK @ 189.31 (stop=195.76)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 791.34 (stop=833.56)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: BHARTIARTL @ 251.29 (stop=261.17)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: DRREDDY @ 378.09 (stop=382.92)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: ITC @ 126.23 (stop=130.48)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: RELIANCE @ 166.04 (stop=171.15)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: ADANIPORTS @ 115.06 (stop=119.17)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 9.98 (stop=10.41)
2026-05-30 20:03:02 | risk_manager         | INFO    | TRAILING STOP: ADANIENT @ 20.95 (stop=21.90)
2026-05-30 20:03:05 | risk_manager         | INFO    | TIME STOP: BPCL after 60 days (max=60)
2026-05-30 20:03:05 | risk_manager         | INFO    | TIME STOP: BAJAJFINSV after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 813.10 (stop=814.56)
2026-05-30 20:03:08 | risk_manager         | INFO    | TRAILING STOP: COALINDIA @ 101.36 (stop=101.75)
2026-05-30 20:03:08 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 440.36 (stop=441.72)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: ASIANPAINT after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: ADANIPORTS after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: BHARTIARTL after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: BRITANNIA after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: ADANIENT after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: DRREDDY after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: CIPLA after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: EICHERMOT after 60 days (max=60)
2026-05-30 20:03:08 | risk_manager         | INFO    | TIME STOP: AXISBANK after 60 days (max=60)
2026-05-30 20:03:11 | risk_manager         | INFO    | TRAILING STOP: CIPLA @ 373.93 (stop=374.14)
2026-05-30 20:03:11 | risk_manager         | INFO    | TRAILING STOP: SUNPHARMA @ 521.21 (stop=522.25)
2026-05-30 20:03:11 | risk_manager         | INFO    | TRAILING STOP: INFY @ 300.25 (stop=300.86)
2026-05-30 20:03:14 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 437.05 (stop=450.83)
