2026-05-30 20:08:21 | regime               | INFO    | Regime on 2012-06-08: BEAR (close=5068, SMA50=5096, SMA200=5070, ADX=21.5) → capital=30%
2026-05-30 20:08:22 | regime               | INFO    | Regime on 2012-06-15: NEUTRAL (close=5139, SMA50=5081, SMA200=5070, ADX=17.2) → capital=70%
2026-05-30 20:08:24 | regime               | INFO    | Regime on 2012-06-22: NEUTRAL (close=5146, SMA50=5066, SMA200=5074, ADX=17.2) → capital=70%
2026-05-30 20:08:25 | regime               | INFO    | Regime on 2012-06-29: NEUTRAL (close=5279, SMA50=5056, SMA200=5081, ADX=21.6) → capital=70%
2026-05-30 20:08:27 | regime               | INFO    | Regime on 2012-07-06: NEUTRAL (close=5317, SMA50=5061, SMA200=5087, ADX=30.2) → capital=70%
2026-05-30 20:08:28 | regime               | INFO    | Regime on 2012-07-13: NEUTRAL (close=5227, SMA50=5068, SMA200=5094, ADX=31.1) → capital=70%
2026-05-30 20:08:30 | regime               | INFO    | Regime on 2012-07-20: NEUTRAL (close=5205, SMA50=5086, SMA200=5097, ADX=24.3) → capital=70%
2026-05-30 20:08:31 | regime               | INFO    | Regime on 2012-07-27: BEAR (close=5100, SMA50=5106, SMA200=5102, ADX=23.7) → capital=30%
2026-05-30 20:08:33 | regime               | INFO    | Regime on 2012-08-03: NEUTRAL (close=5216, SMA50=5140, SMA200=5111, ADX=17.7) → capital=70%
2026-05-30 20:08:35 | regime               | INFO    | Regime on 2012-08-10: NEUTRAL (close=5320, SMA50=5178, SMA200=5118, ADX=17.2) → capital=70%
2026-05-30 20:08:36 | regime               | INFO    | Regime on 2012-08-17: NEUTRAL (close=5366, SMA50=5212, SMA200=5123, ADX=18.3) → capital=70%
2026-05-30 20:08:38 | regime               | INFO    | Regime on 2012-08-24: BULL (close=5387, SMA50=5237, SMA200=5128, ADX=20.2) → capital=100%
2026-05-30 20:08:40 | regime               | INFO    | Regime on 2012-08-31: NEUTRAL (close=5258, SMA50=5254, SMA200=5129, ADX=18.0) → capital=70%
2026-05-30 20:08:42 | regime               | INFO    | Regime on 2012-09-07: NEUTRAL (close=5342, SMA50=5268, SMA200=5130, ADX=17.5) → capital=70%
2026-05-30 20:08:44 | regime               | INFO    | Regime on 2012-09-14: BULL (close=5578, SMA50=5289, SMA200=5142, ADX=20.9) → capital=100%
2026-05-30 20:08:46 | regime               | INFO    | Regime on 2012-09-21: BULL (close=5691, SMA50=5313, SMA200=5159, ADX=28.6) → capital=100%
2026-05-30 20:08:47 | regime               | INFO    | Regime on 2012-09-28: BULL (close=5703, SMA50=5354, SMA200=5177, ADX=35.4) → capital=100%
2026-05-30 20:08:49 | regime               | INFO    | Regime on 2012-10-05: BULL (close=5747, SMA50=5397, SMA200=5194, ADX=40.1) → capital=100%
2026-05-30 20:08:51 | regime               | INFO    | Regime on 2012-10-12: BULL (close=5676, SMA50=5455, SMA200=5218, ADX=41.3) → capital=100%
2026-05-30 20:08:53 | regime               | INFO    | Regime on 2012-10-19: BULL (close=5684, SMA50=5501, SMA200=5243, ADX=39.7) → capital=100%
2026-05-30 20:08:55 | regime               | INFO    | Regime on 2012-10-25: BULL (close=5705, SMA50=5524, SMA200=5259, ADX=37.8) → capital=100%
2026-05-30 20:08:57 | regime               | INFO    | Regime on 2012-11-02: BULL (close=5698, SMA50=5554, SMA200=5281, ADX=36.6) → capital=100%
2026-05-30 20:08:59 | regime               | INFO    | Regime on 2012-11-09: BULL (close=5686, SMA50=5586, SMA200=5303, ADX=29.1) → capital=100%
2026-05-30 20:09:01 | regime               | INFO    | Regime on 2012-11-16: BULL (close=5574, SMA50=5605, SMA200=5313, ADX=28.1) → capital=100%
2026-05-30 20:09:03 | regime               | INFO    | Regime on 2012-11-23: BULL (close=5627, SMA50=5640, SMA200=5325, ADX=27.0) → capital=100%
2026-05-30 20:09:05 | regime               | INFO    | Regime on 2012-11-30: BULL (close=5880, SMA50=5671, SMA200=5336, ADX=25.0) → capital=100%
2026-05-30 20:09:07 | regime               | INFO    | Regime on 2012-12-07: BULL (close=5907, SMA50=5705, SMA200=5350, ADX=25.9) → capital=100%
2026-05-30 20:09:09 | regime               | INFO    | Regime on 2012-12-14: BULL (close=5880, SMA50=5727, SMA200=5361, ADX=25.3) → capital=100%
2026-05-30 20:09:11 | regime               | INFO    | Regime on 2012-12-21: BULL (close=5848, SMA50=5742, SMA200=5370, ADX=20.9) → capital=100%
2026-05-30 20:09:13 | regime               | INFO    | Regime on 2012-12-28: NEUTRAL (close=5908, SMA50=5758, SMA200=5381, ADX=18.1) → capital=70%
2026-05-30 20:09:16 | regime               | INFO    | Regime on 2013-01-04: BULL (close=6016, SMA50=5783, SMA200=5395, ADX=21.1) → capital=100%
2026-05-30 20:09:18 | regime               | INFO    | Regime on 2013-01-11: BULL (close=5951, SMA50=5811, SMA200=5409, ADX=25.1) → capital=100%
2026-05-30 20:09:20 | regime               | INFO    | Regime on 2013-01-18: BULL (close=6064, SMA50=5850, SMA200=5428, ADX=28.4) → capital=100%
2026-05-30 20:09:22 | regime               | INFO    | Regime on 2013-01-25: BULL (close=6075, SMA50=5883, SMA200=5449, ADX=26.7) → capital=100%
2026-05-30 20:09:25 | regime               | INFO    | Regime on 2013-02-01: BULL (close=5999, SMA50=5927, SMA200=5468, ADX=24.1) → capital=100%
2026-05-30 20:09:27 | regime               | INFO    | Regime on 2013-02-08: BULL (close=5904, SMA50=5957, SMA200=5485, ADX=20.4) → capital=100%
2026-05-30 20:09:29 | regime               | INFO    | Regime on 2013-02-15: BULL (close=5887, SMA50=5960, SMA200=5501, ADX=20.5) → capital=100%
2026-05-30 20:09:32 | regime               | INFO    | Regime on 2013-02-22: NEUTRAL (close=5850, SMA50=5959, SMA200=5518, ADX=19.3) → capital=70%
2026-05-30 20:09:34 | regime               | INFO    | Regime on 2013-03-01: BULL (close=5720, SMA50=5948, SMA200=5534, ADX=26.9) → capital=100%
2026-05-30 20:09:36 | regime               | INFO    | Regime on 2013-03-08: BULL (close=5946, SMA50=5942, SMA200=5556, ADX=25.0) → capital=100%
2026-05-30 20:09:39 | regime               | INFO    | Regime on 2013-03-15: BULL (close=5873, SMA50=5935, SMA200=5582, ADX=20.1) → capital=100%
2026-05-30 20:09:41 | regime               | INFO    | Regime on 2013-03-22: BULL (close=5651, SMA50=5909, SMA200=5601, ADX=24.0) → capital=100%
2026-05-30 20:09:43 | regime               | INFO    | Regime on 2013-03-28: BULL (close=5683, SMA50=5887, SMA200=5613, ADX=25.3) → capital=100%
2026-05-30 20:09:46 | regime               | INFO    | Regime on 2013-04-05: BEAR (close=5553, SMA50=5846, SMA200=5629, ADX=24.3) → capital=30%
2026-05-30 20:09:48 | regime               | INFO    | Regime on 2013-04-12: BEAR (close=5529, SMA50=5795, SMA200=5640, ADX=27.9) → capital=30%
2026-05-30 20:09:51 | regime               | INFO    | Regime on 2013-04-18: BULL (close=5783, SMA50=5770, SMA200=5651, ADX=23.5) → capital=100%
2026-05-30 20:09:53 | regime               | INFO    | Regime on 2013-04-26: BULL (close=5871, SMA50=5765, SMA200=5666, ADX=24.5) → capital=100%
2026-05-30 20:09:56 | regime               | INFO    | Regime on 2013-05-03: BULL (close=5944, SMA50=5768, SMA200=5679, ADX=28.8) → capital=100%
2026-05-30 20:09:59 | regime               | INFO    | Regime on 2013-05-10: BULL (close=6095, SMA50=5783, SMA200=5697, ADX=36.5) → capital=100%
2026-05-30 20:10:01 | regime               | INFO    | Regime on 2013-05-24: BULL (close=5984, SMA50=5840, SMA200=5742, ADX=35.7) → capital=100%
2026-05-30 20:10:04 | regime               | INFO    | Regime on 2013-05-31: BULL (close=5986, SMA50=5858, SMA200=5765, ADX=29.9) → capital=100%
2026-05-30 20:10:06 | regime               | INFO    | Regime on 2013-06-07: BULL (close=5881, SMA50=5878, SMA200=5781, ADX=23.1) → capital=100%
2026-05-30 20:10:09 | regime               | INFO    | Regime on 2013-06-14: BULL (close=5808, SMA50=5889, SMA200=5792, ADX=22.5) → capital=100%
2026-05-30 20:10:12 | regime               | INFO    | Regime on 2013-06-21: BEAR (close=5668, SMA50=5908, SMA200=5801, ADX=21.1) → capital=30%
2026-05-30 20:10:15 | regime               | INFO    | Regime on 2013-06-28: BULL (close=5842, SMA50=5916, SMA200=5810, ADX=22.1) → capital=100%
2026-05-30 20:10:17 | regime               | INFO    | Regime on 2013-07-05: NEUTRAL (close=5868, SMA50=5919, SMA200=5824, ADX=18.1) → capital=70%
2026-05-30 20:10:20 | regime               | INFO    | Regime on 2013-07-12: NEUTRAL (close=6009, SMA50=5915, SMA200=5834, ADX=14.7) → capital=70%
2026-05-30 20:10:23 | regime               | INFO    | Regime on 2013-07-19: NEUTRAL (close=6029, SMA50=5911, SMA200=5843, ADX=15.1) → capital=70%
2026-05-30 20:10:26 | regime               | INFO    | Regime on 2013-07-26: NEUTRAL (close=5886, SMA50=5899, SMA200=5850, ADX=14.0) → capital=70%
2026-05-30 20:10:28 | regime               | INFO    | Regime on 2013-08-02: BEAR (close=5678, SMA50=5867, SMA200=5851, ADX=17.3) → capital=30%
2026-05-30 20:10:31 | regime               | INFO    | Regime on 2013-08-08: BEAR (close=5566, SMA50=5825, SMA200=5849, ADX=22.4) → capital=30%
2026-05-30 20:10:34 | regime               | INFO    | Regime on 2013-08-16: BEAR (close=5508, SMA50=5801, SMA200=5848, ADX=21.6) → capital=30%
2026-05-30 20:10:37 | regime               | INFO    | Regime on 2013-08-23: BEAR (close=5472, SMA50=5756, SMA200=5841, ADX=24.7) → capital=30%
2026-05-30 20:10:40 | regime               | INFO    | Regime on 2013-08-30: BEAR (close=5472, SMA50=5715, SMA200=5833, ADX=25.1) → capital=30%
2026-05-30 20:10:43 | regime               | INFO    | Regime on 2013-09-06: BEAR (close=5680, SMA50=5705, SMA200=5830, ADX=21.0) → capital=30%
2026-05-30 20:10:46 | regime               | INFO    | Regime on 2013-09-13: NEUTRAL (close=5851, SMA50=5710, SMA200=5835, ADX=20.0) → capital=70%
2026-05-30 20:10:49 | regime               | INFO    | Regime on 2013-09-20: NEUTRAL (close=6012, SMA50=5721, SMA200=5841, ADX=22.7) → capital=70%
2026-05-30 20:10:52 | regime               | INFO    | Regime on 2013-09-27: BEAR (close=5833, SMA50=5714, SMA200=5840, ADX=20.5) → capital=30%
2026-05-30 20:10:55 | regime               | INFO    | Regime on 2013-10-04: NEUTRAL (close=5907, SMA50=5699, SMA200=5839, ADX=17.2) → capital=70%
2026-05-30 20:10:58 | regime               | INFO    | Regime on 2013-10-11: NEUTRAL (close=6096, SMA50=5704, SMA200=5841, ADX=15.5) → capital=70%
2026-05-30 20:11:01 | regime               | INFO    | Regime on 2013-10-18: NEUTRAL (close=6189, SMA50=5735, SMA200=5846, ADX=17.3) → capital=70%
2026-05-30 20:11:04 | regime               | INFO    | Regime on 2013-10-25: NEUTRAL (close=6145, SMA50=5794, SMA200=5851, ADX=19.2) → capital=70%
2026-05-30 20:11:07 | regime               | INFO    | Regime on 2013-11-01: BULL (close=6307, SMA50=5863, SMA200=5858, ADX=21.2) → capital=100%
2026-05-30 20:11:10 | regime               | INFO    | Regime on 2013-11-08: NEUTRAL (close=6141, SMA50=5925, SMA200=5861, ADX=19.0) → capital=70%
2026-05-30 20:11:13 | regime               | INFO    | Regime on 2013-11-14: NEUTRAL (close=6056, SMA50=5979, SMA200=5861, ADX=17.6) → capital=70%
2026-05-30 20:11:17 | regime               | INFO    | Regime on 2013-11-22: NEUTRAL (close=5995, SMA50=6037, SMA200=5862, ADX=15.9) → capital=70%
2026-05-30 20:11:20 | regime               | INFO    | Regime on 2013-11-29: NEUTRAL (close=6176, SMA50=6060, SMA200=5865, ADX=13.4) → capital=70%
2026-05-30 20:11:23 | regime               | INFO    | Regime on 2013-12-06: NEUTRAL (close=6260, SMA50=6086, SMA200=5872, ADX=13.4) → capital=70%
2026-05-30 20:11:27 | regime               | INFO    | Regime on 2013-12-13: NEUTRAL (close=6168, SMA50=6130, SMA200=5881, ADX=14.9) → capital=70%
2026-05-30 20:11:30 | regime               | INFO    | Regime on 2013-12-20: NEUTRAL (close=6274, SMA50=6161, SMA200=5891, ADX=12.2) → capital=70%
2026-05-30 20:11:33 | regime               | INFO    | Regime on 2013-12-27: NEUTRAL (close=6314, SMA50=6179, SMA200=5902, ADX=13.5) → capital=70%
2026-05-30 20:11:36 | regime               | INFO    | Regime on 2014-01-03: NEUTRAL (close=6211, SMA50=6189, SMA200=5909, ADX=13.3) → capital=70%
2026-05-30 20:11:40 | regime               | INFO    | Regime on 2014-01-10: NEUTRAL (close=6171, SMA50=6190, SMA200=5916, ADX=11.4) → capital=70%
2026-05-30 20:11:43 | regime               | INFO    | Regime on 2014-01-17: NEUTRAL (close=6262, SMA50=6192, SMA200=5932, ADX=12.9) → capital=70%
2026-05-30 20:11:46 | regime               | INFO    | Regime on 2014-01-24: NEUTRAL (close=6267, SMA50=6210, SMA200=5947, ADX=13.0) → capital=70%
2026-05-30 20:11:50 | regime               | INFO    | Regime on 2014-01-31: NEUTRAL (close=6090, SMA50=6210, SMA200=5961, ADX=18.8) → capital=70%
2026-05-30 20:11:53 | regime               | INFO    | Regime on 2014-02-07: BULL (close=6063, SMA50=6208, SMA200=5972, ADX=26.1) → capital=100%
2026-05-30 20:11:57 | regime               | INFO    | Regime on 2014-02-14: BULL (close=6048, SMA50=6196, SMA200=5977, ADX=28.3) → capital=100%
2026-05-30 20:12:00 | regime               | INFO    | Regime on 2014-02-21: BULL (close=6155, SMA50=6183, SMA200=5980, ADX=24.6) → capital=100%
2026-05-30 20:12:03 | regime               | INFO    | Regime on 2014-02-28: BULL (close=6277, SMA50=6183, SMA200=5984, ADX=20.1) → capital=100%
2026-05-30 20:12:07 | regime               | INFO    | Regime on 2014-03-07: BULL (close=6527, SMA50=6197, SMA200=5991, ADX=22.3) → capital=100%
2026-05-30 20:12:10 | regime               | INFO    | Regime on 2014-03-14: BULL (close=6504, SMA50=6219, SMA200=6001, ADX=29.8) → capital=100%
2026-05-30 20:12:14 | regime               | INFO    | Regime on 2014-03-21: BULL (close=6493, SMA50=6244, SMA200=6010, ADX=31.9) → capital=100%
2026-05-30 20:12:17 | regime               | INFO    | Regime on 2014-03-28: BULL (close=6696, SMA50=6286, SMA200=6026, ADX=37.2) → capital=100%
2026-05-30 20:12:21 | regime               | INFO    | Regime on 2014-04-04: BULL (close=6694, SMA50=6328, SMA200=6048, ADX=42.8) → capital=100%
2026-05-30 20:12:25 | regime               | INFO    | Regime on 2014-04-11: BULL (close=6776, SMA50=6367, SMA200=6068, ADX=42.4) → capital=100%
2026-05-30 20:12:28 | regime               | INFO    | Regime on 2014-04-17: BULL (close=6779, SMA50=6404, SMA200=6083, ADX=37.9) → capital=100%
2026-05-30 20:12:32 | regime               | INFO    | Regime on 2014-04-25: BULL (close=6783, SMA50=6467, SMA200=6107, ADX=35.1) → capital=100%
2026-05-30 20:12:36 | regime               | INFO    | Regime on 2014-05-02: BULL (close=6695, SMA50=6520, SMA200=6124, ADX=28.2) → capital=100%
2026-05-30 20:12:40 | regime               | INFO    | Regime on 2014-05-09: BULL (close=6859, SMA50=6584, SMA200=6146, ADX=24.8) → capital=100%
2026-05-30 20:12:43 | regime               | INFO    | Regime on 2014-05-16: BULL (close=7203, SMA50=6677, SMA200=6174, ADX=33.1) → capital=100%
